; NARANCS
; PIROS
; ZÖLD
; NARANCS
; PIROS
; ZÖLD
; NARANCS
; PIROS
; ZÖLD
; PIROS
; NARANCS
; PIROS
; ZÖLD
; ZÖLD
; PIROS
; NARANCS
; PIROS
; ZÖLD
; PIROS
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; NARANCS
; PIROS
; NARANCS
; NARANCS
; ZÖLD
; ZÖLD
; ZÖLD
; PIROS
; ZÖLD
; NARANCS
; NARANCS
; NARANCS
Hali; ZÖLD
; NARANCS
Szia; NARANCS
; PIROS
; NARANCS
; ZÖLD
; PIROS
; ZÖLD
; PIROS
; ZÖLD
; PIROS
; ZÖLD
; PIROS
; ZÖLD
; NARANCS
; PIROS
; ZÖLD
; PIROS
; NARANCS
; ZÖLD
; NARANCS
; ZÖLD
; NARANCS
; ZÖLD
; ZÖLD
; ZÖLD
; PIROS
; PIROS
; PIROS
; PIROS
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; ZÖLD
; PIROS
Hali; ZÖLD
Csao; PIROS
Hogy vagytok?; NARANCS
jol; PIROS
en is; ZÖLD
; NARANCS
; PIROS
; ZÖLD
; NARANCS
; PIROS
; ZÖLD
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAa; ZÖLD
BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB; PIROS
